Date,Temperature AVG,Relative Humidity AVG,Wind Speed Daily AVG,Solare Radiation AVG,Route
2014-09-23,32.85733333,100.0,65.11066667,16.5938,Disappointment Cleaver
2014-09-24,29.70291667,100.0,45.915,37.87370833,Disappointment Cleaver
2014-09-25,53.6475,199.70833334,6.332416666,285.3978334,Disappointment Cleaver
2014-09-26,254.14499997,900.0,8.078625,1029.6074997,Disappointment Cleaver
2014-09-27,233.23125000000002,421.40291669000004,49.986416669,1593.179875,Disappointment Cleaver
2014-09-28,86.06583334,24.727,9.7175,453.4389166,Disappointment Cleaver
2014-09-29,35.29625,47.83875,12.22416667,161.2810833,Disappointment Cleaver
2014-10-04,85.9975,118.51583334,18.5355,250.6841666,Kautz Glacier
2014-10-06,45.065,52.67708333,2.452583333,195.5275,Disappointment Cleaver
2014-11-09,21.96875,89.15416667,24.14166667,78.41325,Nisqually Glacier
2014-12-13,8.911,93.5125,0.0,42.76745833,Gibralter Ledges
2015-01-23,28.25125,92.37875,20.88708333,0.0,Disappointment Cleaver
2015-01-24,70.50166666,119.54583334,36.09691666,6.1875,Ingraham Direct
2015-01-25,37.7425,45.37166667,41.44083333,0.0,Gibralter Ledges
2015-01-28,23.08625,22.53516667,9.464208333,0.0,Gibralter Ledges
2015-01-29,98.29666668,301.725,29.583833332,0.0,Gibralter Ledges
2015-01-30,83.58,70.48262499,13.217375001,0.0,Gibralter Ledges
2015-01-31,28.02,27.65333333,10.29258333,0.0,Gibralter Ledges
2015-02-13,32.82541667,40.39291667,24.52683333,0.033083333,Fuhrer's Finger
2015-02-14,154.30750002000002,153.29050002000002,74.991,0.8650000019999999,Little Tahoma
2015-02-15,59.92916666,28.73791666,17.459416666,4.67675,Gibralter Ledges
2015-02-20,58.80500001,80.73875001,41.85312501,0.0,Gibralter Ledges
2015-02-21,35.78375001,143.25624999,51.699,0.0,Unknown
2015-02-22,84.63,72.364,74.865,0.0,Gibralter Ledges
2015-02-27,12.06366667,95.17916667,15.758875,0.0,Gibralter Ledges
2015-03-05,88.04750001,78.86012499,14.696375001,32.697375,Fuhrer's Finger
2015-03-06,61.53166666,59.50666666,24.19991666,0.0,Gibralter Ledges
2015-03-07,127.64666668,73.13666668,25.358166668,107.15033332,Disappointment Cleaver
2015-03-08,33.745,14.99333333,10.19525,17.644375,Little Tahoma
2015-03-09,66.05666666,52.25466666,24.68541666,20.41866666,Disappointment Cleaver
2015-03-14,24.08583333,99.84166667,51.35583333,0.0,Ingraham Direct
2015-03-15,40.74916666,197.1,73.485,0.0,Disappointment Cleaver
2015-03-19,27.38791667,55.47,32.96583333,0.0,Disappointment Cleaver
2015-03-22,15.28416667,83.18833333,26.54208333,0.0,Ingraham Direct
2015-03-23,21.71,181.53916666,34.01483334,0.0,Disappointment Cleaver
2015-03-25,27.63916667,83.63458333,23.18458333,0.0,Gibralter Ledges
2015-03-27,58.45416666,107.75416666,114.85,0.0,Disappointment Cleaver
2015-04-05,16.441416666,163.7625,10.999916666,0.794583334,glacier only - no summit attempt
2015-04-11,6.834833333,85.88208333,46.41875,0.0,Ingraham Direct
2015-04-13,28.33041666,130.34833334,107.32775,0.0,Disappointment Cleaver
2015-04-17,91.85124999,131.50250001,21.372875000999997,79.04525000999999,Disappointment Cleaver
2015-04-18,225.36208331,132.15416669,60.580041669,242.78770831000003,Gibralter Ledges
2015-04-19,65.89416666,63.42833334,4.949666666,112.81833334,Ingraham Direct
2015-04-20,97.57874999999999,148.52874999,10.339374999,70.40675001,Fuhrers Finger
2015-04-23,18.64516667,81.78208333,32.89291667,0.0,Disappointment Cleaver
2015-04-24,27.096125000999997,275.19375,128.13875001,0.0,Disappointment Cleaver
2015-04-26,21.72125,46.13583333,6.800083333,14.9675,Wilson Headwall
2015-04-27,97.11875001000001,231.23250000000002,45.960999990000005,39.7905,Disappointment Cleaver
2015-04-30,63.3675,90.42666666,29.57475,82.40333334,Disappointment Cleaver
2015-05-01,301.97083330000004,339.95916669999997,310.2083333,0.0,Fuhrers Finger
2015-05-02,367.97499996,370.85799996,72.786,539.52,Disappointment Cleaver
2015-05-04,97.81833332,191.86666668,170.28833332,0.0,Fuhrers Finger
2015-05-07,100.98833332,76.80666668,40.8355,64.84166668,Emmons-Winthrop
2015-05-08,197.69458330999998,369.55625000000003,48.384,248.51458330999998,Gibralter Ledges
2015-05-09,496.22666672,1163.28,55.955333328,598.87133328,Disappointment Cleaver
2015-05-10,64.31833334,126.19,7.024,47.8715,Fuhrers Finger
2015-05-11,80.0775,231.85125,43.66074999,16.201875,Disappointment Cleaver
2015-05-12,24.37416667,99.37083333,12.299,0.0,Disappointment Cleaver
2015-05-13,125.29791664999999,485.58333335,21.994375,0.0,Disappointment Cleaver
2015-05-14,104.955,332.00333332,8.2655,40.12966668,Disappointment Cleaver
2015-05-15,124.34166668,182.87833332,6.390666668,170.19133332,Disappointment Cleaver
2015-05-16,93.84249999,167.58500001,10.898375001,86.400375,Disappointment Cleaver
2015-05-17,172.6125,519.78250002,31.3335,27.299749998000003,Disappointment Cleaver
2015-05-18,147.36666664999998,455.3,31.807916664999997,108.82604165000001,Disappointment Cleaver
2015-05-19,124.8,300.01833332,45.26383332,0.519833332,Disappointment Cleaver
2015-05-20,96.67625001,234.28250001000004,49.083749999999995,81.90725001,Disappointment Cleaver
2015-05-21,67.00166666,158.43416666,16.091,28.55766666,Disappointment Cleaver
2015-05-22,463.27750000000003,1169.51333338,97.4295,2.977916662,Fuhrers Finger
2015-05-23,645.85499994,1336.62749994,130.94850000600002,460.94099994,Disappointment Cleaver
2015-05-24,284.04333336,441.17,36.822333336,325.91933336,Disappointment Cleaver
2015-05-25,294.99750000000006,445.01625,19.587375,278.91375002999996,Disappointment Cleaver
2015-05-26,126.14666668,291.60333332,13.7695,751.6998332,Disappointment Cleaver
2015-05-27,172.28750000000002,368.32708335,21.056041665000002,1758.9239585,Emmons-Winthrop
2015-05-28,263.03958331,473.20291669,49.432249999999996,2365.9329169000002,Disappointment Cleaver
2015-05-29,769.755,1504.67625,518.41299993,5151.2142507,Curtis RIngraham Directge
2015-05-30,1405.99375,1290.3916665499999,343.46812500000004,12335.500625,Disappointment Cleaver
2015-05-31,77.93333334,115.06583334,52.9875,584.3485,Disappointment Cleaver
2015-06-01,131.29833332,348.175,42.2345,576.818,Emmons-Winthrop
2015-06-02,129.61666664999998,483.91666665,43.398333335,1361.8139585,Kautz Glacier
2015-06-03,145.06666665,429.76666665000005,11.101666665,1424.2395835,Disappointment Cleaver
2015-06-04,758.15666674,1385.87166674,88.14758332599999,7989.343082599999,Liberty RIngraham Directge
2015-06-05,1129.45333343,1467.02541657,172.175416657,10420.8249593,Disappointment Cleaver
2015-06-06,1912.2666668,773.6666667999999,125.45833332000001,14154.748332,Fuhrers Finger
2015-06-07,904.59833339,525.5762500000001,52.719833339000004,6046.0556661,Disappointment Cleaver
2015-06-08,522.2875,287.45,131.705,3566.964583,Disappointment Cleaver
2015-06-09,583.545,243.40500000000003,116.7285,4349.2070004,Disappointment Cleaver
2015-06-10,243.45,67.98541665,21.545625,1818.333125,Emmons-Winthrop
2015-06-11,693.43125,444.23125004999997,285.043125,5171.810625,Emmons-Winthrop
2015-06-12,1116.89666676,356.7515,410.4205,10305.5703324,Disappointment Cleaver
2015-06-13,967.69083323,1418.75375,55.376333323,11300.0399177,Emmons-Winthrop
2015-06-14,425.02958329,913.5424999999999,35.438,4718.188582899999,Emmons-Winthrop
2015-06-15,497.1925,900.585,98.167416662,4814.572,Disappointment Cleaver
2015-06-16,502.01666671,431.37791670999997,120.391916671,4578.8751671,Disappointment Cleaver
2015-06-17,362.67374997,352.26,87.312375,3222.2996253,Disappointment Cleaver
2015-06-18,596.39250006,1337.0025000599999,524.21250006,4395.2272506,Emmons-Winthrop
2015-06-19,1052.75500011,2170.03875,308.188375011,10871.1460011,Emmons-Winthrop
2015-06-20,1192.975,1372.65083322,84.2265,12197.366832200001,Disappointment Cleaver
2015-06-21,503.88124995000004,745.13749995,296.89437495000004,4459.6568744999995,Kautz Glacier
2015-06-22,753.87,1929.70999992,320.25100008,5778.2299992,Kautz Glacier
2015-06-23,684.6075,775.16249994,101.368499994,6323.625,Disappointment Cleaver
2015-06-24,866.79083326,1539.6516667399999,199.26958332600003,5457.1174174,Disappointment Cleaver
2015-06-25,1329.4462500000002,1013.7712499099999,137.137500009,9549.7503741,Emmons-Winthrop
2015-06-26,2096.41250013,1399.36875,530.989875,13805.8959987,Disappointment Cleaver
2015-06-27,1855.57833322,1366.31833322,616.96683322,8330.3924178,Disappointment Cleaver
2015-06-28,935.8641666100001,846.09,140.114,3132.749375,Emmons-Winthrop
2015-06-29,1027.76625,1187.20875,232.78674992999998,7436.648625,Disappointment Cleaver
2015-06-30,581.9049999599999,605.79999996,33.065000004,3945.1280004,Disappointment Cleaver
2015-07-01,1184.68166674,273.89725,97.026416674,7950.6285826,Disappointment Cleaver
2015-07-02,773.1625000500001,311.14437495,138.501250005,5359.99125,Emmons-Winthrop
2015-07-03,2536.3250000000003,945.7331668200001,34.659083318,16437.693668199998,Emmons-Winthrop
2015-07-04,769.2824999999999,402.5175,19.016666662,4927.6260838,Disappointment Cleaver
2015-07-05,666.89583338,644.15166662,40.107666662,4672.1546662,Disappointment Cleaver
2015-07-06,994.07916674,1215.0325,372.50766674,7698.349082600001,Disappointment Cleaver
2015-07-07,586.95999996,566.67,36.003,4132.6434996,Emmons-Winthrop
2015-07-08,569.55500004,784.17999996,64.992500004,3413.8565004,Disappointment Cleaver
2015-07-09,1024.08249993,1112.72874993,80.294375007,5234.1887493,Disappointment Cleaver
2015-07-10,1180.0520832500001,1392.8229167499999,122.30416667499999,6306.53125,Emmons-Winthrop
2015-07-11,1016.58333325,1744.3541667499999,541.44479175,5786.705207499999,Disappointment Cleaver
2015-07-12,534.02666672,1452.38666672,386.00666672,3522.958,Disappointment Cleaver
2015-07-13,515.51333328,1478.62666672,184.852,4039.626,Disappointment Cleaver
2015-07-14,835.6975,1048.19916674,52.406749999999995,7603.3109174,Disappointment Cleaver
2015-07-15,435.03625,545.65041663,50.8255,3615.7132913,Emmons-Winthrop
2015-07-16,819.2099999999999,930.42249993,120.99587499299999,6607.006875,Disappointment Cleaver
2015-07-17,1111.61833343,1377.5966665699998,186.882041657,9416.8280407,Disappointment Cleaver
2015-07-18,946.91666674,1211.58583326,132.076083326,7348.5729174,Disappointment Cleaver
2015-07-19,547.0575,539.76541663,43.805208337,3618.8221663000004,Emmons-Winthrop
2015-07-20,786.47333328,515.924,137.294666672,5347.148,Emmons-Winthrop
2015-07-21,498.09000000000003,284.55500004,284.54499996,3816.6510000000003,Disappointment Cleaver
2015-07-22,310.98,299.42666664,37.276666664,2667.894,Disappointment Cleaver
2015-07-23,658.86333339,741.67458339,96.61312500000001,5131.3487089,Disappointment Cleaver
2015-07-24,399.8208333,686.9458333,195.06708329999998,3096.38125,Disappointment Cleaver
2015-07-25,412.06083338,1370.16833338,462.02625,2560.3631662000003,Disappointment Cleaver
2015-07-26,408.975,1203.18124995,75.140625,3089.3543744999997,Disappointment Cleaver
2015-07-27,466.24666662000004,735.0,104.22475,3903.1101662,Emmons-Winthrop
2015-07-28,532.42583329,658.43916671,97.491333329,4239.9960421,Disappointment Cleaver
2015-07-29,231.98125000000002,193.26041665000002,19.725208334999998,1616.5616664999998,Disappointment Cleaver
2015-07-30,488.8666667,278.0416667,137.5808333,3269.785417,Disappointment Cleaver
2015-07-31,1478.015,535.45333324,412.02116675999997,9179.6926676,Disappointment Cleaver
2015-08-01,1628.45875,479.09208343,132.35479165700002,9391.247625,Disappointment Cleaver
2015-08-02,945.7425,719.54249994,274.65899994,3583.1174994000003,Kautz Glacier
2015-08-03,656.0225,699.79,226.06908338,2752.6788338,Disappointment Cleaver
2015-08-04,412.9625,393.4041667,97.68666667,3214.1566669999997,Disappointment Cleaver
2015-08-05,486.71999999999997,499.61166671,98.28975,3959.8742079,Disappointment Cleaver
2015-08-06,896.8025,661.25583326,91.339416674,6941.0064174,Disappointment Cleaver
2015-08-07,764.1149999400001,783.135,83.529750006,5557.482,Disappointment Cleaver
2015-08-08,372.07916670000003,719.3125,277.2875,2400.982083,Disappointment Cleaver
2015-08-09,296.67,387.89333336,246.72,1364.4793336,Disappointment Cleaver
2015-08-10,274.09958331,498.23375,174.38166669,1277.5933331,Disappointment Cleaver
2015-08-11,593.1358332899999,708.45666671,123.696625,2365.6787921,Disappointment Cleaver
2015-08-12,565.13416663,507.54458337,73.410791663,2295.3755,Disappointment Cleaver
2015-08-13,199.96833332,123.30166668,98.97,1104.194,Disappointment Cleaver
2015-08-14,600.73750005,1156.54999995,223.5225,2550.0387495,Disappointment Cleaver
2015-08-15,624.41875005,293.42749994999997,113.933125005,4583.5924995000005,Emmons-Winthrop
2015-08-16,452.29708337,489.64208337,18.295291663,3240.463875,Emmons-Winthrop
2015-08-17,558.6399999600001,363.045,72.434499996,3542.2110000000002,Disappointment Cleaver
2015-08-18,346.29291668999997,279.5625,30.19625,2033.9360419,Disappointment Cleaver
2015-08-19,307.13749998,145.57000002,17.546749998,1747.8100002,Emmons-Winthrop
2015-08-20,409.11666664,205.71333336,38.709333336,2298.337,Disappointment Cleaver
2015-08-21,734.54875,243.03766661,325.40975,4993.7415,Disappointment Cleaver
2015-08-22,1020.4908334099999,419.99150000000003,103.440583341,6482.794375,Disappointment Cleaver
2015-08-23,268.12750002,160.80799997999998,148.85749998,1686.2702502000002,Disappointment Cleaver
2015-08-24,216.83333335,112.829375,114.12708334999999,1183.5697915,Disappointment Cleaver
2015-08-25,169.66,106.90666668,99.79,1100.8453332,Disappointment Cleaver
2015-08-26,503.40999996000005,650.8050000000001,430.79000004,2808.4995,Disappointment Cleaver
2015-08-27,121.94624999999999,200.69750001,116.05250001000002,750.9071250000001,Disappointment Cleaver
2015-08-28,108.48624999,274.09125,192.31875000000002,159.67250001000002,Disappointment Cleaver
2015-08-29,61.63913044,193.92173914,36.45382608,66.20182608,Disappointment Cleaver
2015-08-31,96.93,300.0,77.22,0.0,Disappointment Cleaver
2015-09-01,128.315,266.47666668,132.315,807.1566668,Disappointment Cleaver
2015-09-02,67.20125001,274.87625001000004,69.82124999999999,700.4537499,Disappointment Cleaver
2015-09-03,102.11041664999999,454.05,41.725,1072.1145835,Disappointment Cleaver
2015-09-04,128.56999998,545.8725000000001,34.950499998,850.02675,Disappointment Cleaver
2015-09-05,249.7708333,743.9499999999999,46.432500000000005,2214.94,Disappointment Cleaver
2015-09-06,86.98250001,224.145,35.30424999,725.9138751,Disappointment Cleaver
2015-09-07,211.51750002,293.77750002,23.371499999999997,1491.2730000000001,Disappointment Cleaver
2015-09-08,43.75958333,40.11041667,7.346541667,243.2357083,Disappointment Cleaver
2015-09-09,141.88250001,75.2475,22.98675,723.8348751000001,Disappointment Cleaver
2015-09-10,106.21166666,31.57416666,4.976833334,486.8745834,Disappointment Cleaver
2015-09-11,470.73750003,170.1225,111.53025000000001,2108.9842497,Disappointment Cleaver
2015-09-12,414.08,223.32333336,158.526,1904.8433336,Disappointment Cleaver
2015-09-13,170.36666668,69.71033332,57.75283332,830.374,Disappointment Cleaver
2015-09-14,115.10624999999999,301.080625,55.53375,453.465,Disappointment Cleaver
2015-09-15,19.81375,54.48041667,7.827708333,153.95775,Disappointment Cleaver
2015-09-16,22.08,98.65,15.922375,142.4772917,Disappointment Cleaver
2015-09-17,26.44208333,85.25291667,9.367166667,203.176375,Disappointment Cleaver
2015-09-18,173.66875,263.50833335,31.771875,1004.703125,Disappointment Cleaver
2015-09-19,161.79666668,254.14833332,31.815666668,877.838,Disappointment Cleaver
2015-09-20,150.57,272.31,125.14666668,860.5743332,Disappointment Cleaver
2015-09-21,187.03333335,86.02708335000001,68.89541665,1109.1608334999999,Disappointment Cleaver
2015-09-22,34.56541667,21.985,22.35341667,215.4495417,Disappointment Cleaver
2015-09-23,30.87583333,70.45,35.44875,138.2574583,Disappointment Cleaver
2015-09-24,72.19916666,121.9575,103.22166666,360.63175,Disappointment Cleaver
2015-09-25,64.78083334,190.61166666,122.775,24.76516666,Disappointment Cleaver
2015-09-26,81.96624999000001,178.40975001,47.19225,551.6151249,Disappointment Cleaver
2015-09-27,35.105,23.76833333,4.557083333,201.8912083,Disappointment Cleaver
2015-09-28,38.33541667,27.02541667,17.11520833,201.8525833,Disappointment Cleaver
2015-09-30,38.72958333,57.36958333,11.30075,202.81275,Disappointment Cleaver
2015-10-02,72.12833334,94.03475,12.891833334,352.5310834,Disappointment Cleaver
2015-10-03,63.64583334,124.67416666,26.25008334,392.7504166,Disappointment Cleaver
2015-10-09,38.26041667,74.32916667,65.13833333,27.79129167,Disappointment Cleaver
2015-10-13,40.97958333,28.33570833,19.59116667,176.3826667,Little Tahoma
2015-10-15,46.44791667,27.21125,17.163625,138.387,Disappointment Cleaver
2015-11-21,31.3,21.69070833,2.245833333,93.66041667,Disappointment Cleaver
2015-11-27,26.32166667,19.715,27.83958333,88.49625,Disappointment Cleaver
